2015/01/28 17:50:38.420 ::: Debug -- USB Device #0 is UNattached.

2015/01/28 18:44:42.117 ::: Debug -- USB Device #? is UNattached.

2015/01/28 18:44:42.164 ::: Debug -- USB Device #0 is UNattached.

2015/01/28 18:44:42.222 ::: Debug -- USB Device #1 is UNattached.

2015/01/28 18:44:42.275 ::: Debug -- USB Device #2 is UNattached.

2015/01/28 18:44:42.345 ::: Debug -- USB Device #3 is UNattached.

2015/01/28 18:44:42.398 ::: Debug -- USB Device #4 is UNattached.

2015/01/28 18:44:42.456 ::: Debug -- USB Device #5 is UNattached.

2015/01/28 18:44:42.548 ::: Debug -- USB Device #6 is UNattached.

2015/01/28 18:44:42.622 ::: Debug -- USB Device #7 is UNattached.

2015/01/28 18:44:42.690 ::: Debug -- USB Device #8 is UNattached.

2015/01/28 18:44:42.742 ::: Debug -- USB Device #9 is UNattached.

2015/01/28 18:44:47.751 ::: Debug -- USB Device #? is UNattached.

2015/01/28 18:44:47.803 ::: Debug -- USB Device #0 is attached.

2015/01/28 18:44:47.811 ::: Debug -- USB Device #0 is attached.

2015/01/28 18:44:47.859 ::: Debug -- USB Device #1 is UNattached.

2015/01/28 18:44:47.922 ::: Debug -- USB Device #2 is UNattached.

2015/01/28 18:44:47.990 ::: Debug -- USB Device #3 is UNattached.

2015/01/28 18:44:48.060 ::: Debug -- USB Device #4 is UNattached.

2015/01/28 18:44:48.073 ::: Debug -- Q-Berry CNT Hz
QBW v1.0.0
(C)2015 David Quesenberry - http:/
2015/01/28 18:44:48.135 ::: Debug -- USB Device #5 is UNattached.

2015/01/28 18:44:48.195 ::: Debug -- USB Device #6 is UNattached.

2015/01/28 18:44:48.277 ::: Debug -- USB Device #7 is UNattached.

2015/01/28 18:44:48.292 ::: Debug -- /www.QBytesWorld.com
USB Device Initialised.
2015/01/28 18:44:48.349 ::: Debug -- USB Device #8 is UNattached.

2015/01/28 18:44:48.412 ::: Debug -- USB Device #9 is UNattached.

2015/01/28 18:44:48.428 ::: Debug --          0        12        D3        42        3B         0 -->    312,201,914     1,000,000  
2015/01/28 18:45:33.393 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:45:34.406 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:45:35.415 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:45:36.428 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:45:37.448 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:45:38.472 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:45:39.485 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:45:40.490 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:45:41.503 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:45:42.530 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:45:43.535 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:45:44.545 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:45:45.564 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:45:46.381 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:45:47.388 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:45:48.393 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:45:49.413 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:45:50.433 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:45:51.442 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:45:52.463 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:45:53.467 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:45:54.483 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:45:55.499 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:45:56.519 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:45:57.525 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:45:58.553 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:45:59.565 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:00.569 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:01.390 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:02.394 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:03.421 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:04.430 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:05.437 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:06.449 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:07.468 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:08.481 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:09.494 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:10.505 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:11.519 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:12.532 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:13.557 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:14.559 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:15.573 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:16.383 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:17.409 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:18.422 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:19.426 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:20.453 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:21.459 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:22.472 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:23.482 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:24.506 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:25.514 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:26.536 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:27.540 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:28.555 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:29.374 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:30.382 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:31.400 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:32.407 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:33.417 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:34.445 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:35.460 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:36.463 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:37.482 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:38.495 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:39.506 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:40.518 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:41.534 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:42.549 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:43.569 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:44.374 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:45.387 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:46.393 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:47.415 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:48.431 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:49.442 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:50.457 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:51.480 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

